time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
2.62e-07,-8.513401591529903e-08,8.513401591529998e-08,9.529120656610879e-22
2.63e-07,-9.010753152663067e-08,9.010753152663164e-08,9.661469554619363e-22
2.6400000000000003e-07,-9.508104713796232e-08,9.50810471379633e-08,9.793818452627848e-22
2.65e-07,-1.0005456274929397e-07,1.0005456274929496e-07,9.926167350636332e-22
2.66e-07,-1.0502807836062561e-07,1.0502807836062662e-07,1.0058516248644817e-21
2.67e-07,-1.1000159397195727e-07,1.1000159397195828e-07,1.0058516248644817e-21
2.68e-07,-1.1497510958328892e-07,1.1497510958328994e-07,1.0190865146653301e-21
2.6900000000000004e-07,-1.1994862519462056e-07,1.199486251946216e-07,1.0323214044661785e-21
2.7e-07,-1.249221408059522e-07,1.2492214080595324e-07,1.0323214044661785e-21
2.7100000000000003e-07,-1.2989565641728386e-07,1.2989565641728492e-07,1.0587911840678754e-21
2.72e-07,-1.348691720286155e-07,1.3486917202861656e-07,1.0587911840678754e-21
2.73e-07,-1.3984268763994715e-07,1.3984268763994823e-07,1.0852609636695723e-21
2.74e-07,-1.448162032512788e-07,1.4481620325127988e-07,1.0852609636695723e-21
2.75e-07,-1.4978971886261044e-07,1.4978971886261155e-07,1.1117307432712692e-21
2.7600000000000004e-07,-1.547632344739421e-07,1.547632344739432e-07,1.1117307432712692e-21
2.77e-07,-1.5973675008527373e-07,1.5973675008527487e-07,1.138200522872966e-21
2.7800000000000003e-07,-1.6471026569660538e-07,1.6471026569660652e-07,1.138200522872966e-21
2.79e-07,-1.6968378130793703e-07,1.696837813079382e-07,1.164670302474663e-21
2.8e-07,-1.7465729691926867e-07,1.7465729691926984e-07,1.164670302474663e-21
2.8100000000000004e-07,-1.7963081253060032e-07,1.796308125306015e-07,1.1911400820763599e-21
2.82e-07,-1.8460432814193197e-07,1.8460432814193316e-07,1.1911400820763599e-21
2.8300000000000003e-07,-1.895778437532636e-07,1.895778437532648e-07,1.1911400820763599e-21
2.84e-07,-1.9455135936459526e-07,1.9455135936459648e-07,1.2176098616780567e-21
2.85e-07,-1.995248749759269e-07,1.9952487497592812e-07,1.2176098616780567e-21
2.86e-07,-1.9455633288020657e-07,1.945563328802078e-07,1.2440796412797536e-21
2.87e-07,-1.8958779078448623e-07,1.8958779078448747e-07,1.2440796412797536e-21
2.8800000000000004e-07,-1.846192486887659e-07,1.8461924868876716e-07,1.2705494208814505e-21
2.89e-07,-1.7965070659304556e-07,1.7965070659304683e-07,1.2705494208814505e-21
2.9000000000000003e-07,-1.7468216449732522e-07,1.746821644973265e-07,1.2705494208814505e-21
2.91e-07,-1.6971362240160488e-07,1.6971362240160618e-07,1.2970192004831474e-21
2.92e-07,-1.6474508030588454e-07,1.6474508030588584e-07,1.2970192004831474e-21
2.9300000000000004e-07,-1.597765382101642e-07,1.597765382101655e-07,1.2970192004831474e-21
2.94e-07,-1.5480799611444387e-07,1.548079961144452e-07,1.3234889800848443e-21
2.9500000000000003e-07,-1.4983945401872353e-07,1.4983945401872486e-07,1.3234889800848443e-21
2.96e-07,-1.448709119230032e-07,1.4487091192300455e-07,1.3499587596865412e-21
2.97e-07,-1.3990236982728286e-07,1.399023698272842e-07,1.3499587596865412e-21
2.98e-07,-1.3493382773156252e-07,1.3493382773156387e-07,1.3499587596865412e-21
2.99e-07,-1.2996528563584218e-07,1.2996528563584356e-07,1.376428539288238e-21
3.0000000000000004e-07,-1.2499674354012185e-07,1.2499674354012322e-07,1.376428539288238e-21
3.01e-07,-1.200282014444015e-07,1.2002820144440289e-07,1.376428539288238e-21
3.0200000000000003e-07,-1.1505965934868117e-07,1.1505965934868257e-07,1.402898318889935e-21
3.03e-07,-1.1009111725296083e-07,1.1009111725296224e-07,1.402898318889935e-21
3.04e-07,-1.0512257515724051e-07,1.0512257515724191e-07,1.402898318889935e-21
3.0500000000000004e-07,-1.0015403306152017e-07,1.0015403306152159e-07,1.4161332086907834e-21
3.06e-07,-9.518549096579984e-08,9.518549096580127e-08,1.4293680984916318e-21
3.0700000000000004e-07,-9.02169488700795e-08,9.021694887008093e-08,1.4293680984916318e-21
