Time_s,ChassisPosition_m,ChassisVelocity_ms,ChassisMomentum_kgms,PacketPosition_m,PacketEnergy_J,SystemCenterOfMass_m,LorentzGamma,ThermalLoss_J,TotalEnergy_J
1.1772000000000764e-06,-1.0554226551573985e-05,246.71842128535758,246718.42128544115,7.511712044373417,73964321951041.92,-4.372353839224924e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1773000000000764e-06,-1.052955470944545e-05,246.71842128535758,246718.42128544115,7.48173282324526,73964321951041.92,-4.3723538189209e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1774000000000764e-06,-1.0504882867316914e-05,246.71842128535758,246718.42128544115,7.451753602117102,73964321951041.92,-4.372353798616877e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1775000000000764e-06,-1.0480211025188378e-05,246.71842128535758,246718.42128544115,7.4217743809889445,73964321951041.92,-4.3723537783128555e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1776000000000764e-06,-1.0455539183059842e-05,246.71842128535758,246718.42128544115,7.391795159860787,73964321951041.92,-4.372353758008832e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1777000000000764e-06,-1.0430867340931307e-05,246.71842128535758,246718.42128544115,7.361815938732629,73964321951041.92,-4.3723537377048085e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1778000000000764e-06,-1.0406195498802771e-05,246.71842128535758,246718.42128544115,7.331836717604472,73964321951041.92,-4.372353717400785e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1779000000000764e-06,-1.0381523656674236e-05,246.71842128535758,246718.42128544115,7.301857496476314,73964321951041.92,-4.372353697096763e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1780000000000764e-06,-1.03568518145457e-05,246.71842128535758,246718.42128544115,7.271878275348157,73964321951041.92,-4.37235367679274e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1781000000000764e-06,-1.0332179972417164e-05,246.71842128535758,246718.42128544115,7.241899054219999,73964321951041.92,-4.372353656488716e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1782000000000764e-06,-1.0307508130288629e-05,246.71842128535758,246718.42128544115,7.211919833091842,73964321951041.92,-4.372353636184693e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1783000000000765e-06,-1.0282836288160093e-05,246.71842128535758,246718.42128544115,7.181940611963684,73964321951041.92,-4.372353615880669e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1784000000000765e-06,-1.0258164446031557e-05,246.71842128535758,246718.42128544115,7.151961390835527,73964321951041.92,-4.3723535955766475e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1785000000000765e-06,-1.0233492603903022e-05,246.71842128535758,246718.42128544115,7.121982169707369,73964321951041.92,-4.372353575272625e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1786000000000765e-06,-1.0208820761774486e-05,246.71842128535758,246718.42128544115,7.0920029485792115,73964321951041.92,-4.3723535549686005e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1787000000000765e-06,-1.018414891964595e-05,246.71842128535758,246718.42128544115,7.062023727451054,73964321951041.92,-4.372353534664578e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1788000000000765e-06,-1.0159477077517415e-05,246.71842128535758,246718.42128544115,7.0320445063228965,73964321951041.92,-4.372353514360555e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1789000000000765e-06,-1.0134805235388879e-05,246.71842128535758,246718.42128544115,7.002065285194739,73964321951041.92,-4.372353494056533e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1790000000000765e-06,-1.0110133393260344e-05,246.71842128535758,246718.42128544115,6.972086064066581,73964321951041.92,-4.372353473752508e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1791000000000765e-06,-1.0085461551131808e-05,246.71842128535758,246718.42128544115,6.942106842938424,73964321951041.92,-4.372353453448486e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1792000000000765e-06,-1.0060789709003272e-05,246.71842128535758,246718.42128544115,6.912127621810266,73964321951041.92,-4.372353433144464e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1793000000000765e-06,-1.0036117866874737e-05,246.71842128535758,246718.42128544115,6.882148400682109,73964321951041.92,-4.37235341284044e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1794000000000765e-06,-1.0011446024746201e-05,246.71842128535758,246718.42128544115,6.852169179553951,73964321951041.92,-4.372353392536417e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1795000000000765e-06,-9.986774182617665e-06,246.71842128535758,246718.42128544115,6.822189958425794,73964321951041.92,-4.372353372232393e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1796000000000766e-06,-9.96210234048913e-06,246.71842128535758,246718.42128544115,6.792210737297636,73964321951041.92,-4.37235335192837e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1797000000000766e-06,-9.937430498360594e-06,246.71842128535758,246718.42128544115,6.762231516169479,73964321951041.92,-4.372353331624348e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1798000000000766e-06,-9.912758656232058e-06,246.71842128535758,246718.42128544115,6.732252295041321,73964321951041.92,-4.3723533113203246e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
